\\subterriver roads v1.4
\\created by meds with AtODataTextExport
sen_0-sen_41|(-8.12,-2.28),(-7.67,-2.00),(-7.6,-1.65),(-7.5882,-1.1)
sen_41-sen_44|(-7.5882,-1.1),(-7.15,-0.85),(-6.88, -0.58)
sen_41-sen_1|(-7.5882,-1.1),(-7.15,-0.85),(-6.88, -0.58),(-6.82, .135),(-6.56, 0.28),(-6.4,0.3),(-6.285616,0.5338753),(-6.165747,0.7951708),(-6.226389,1.553998),(-6.002827,1.979764),(-5.520961,2.421435)
sen_41-sen_2|(-7.5882,-1.1),(-7.15,-0.85),(-6.88, -0.58),(-6.475,-0.615),(-6.315,-0.6),(-5.952168,-0.5814378),(-5.505734,-0.4116008),(-4.890141,-0.3295171)
sen_41-sen_3|(-7.5882,-1.1),(-7.15,-0.85),(-6.88, -0.58),(-7, -0.884),(-6.905,-1.305),(-6.66, -1.465),(-6.41,-1.59),(-6.166824,-1.822839),(-6.182711,-2.251776),(-5.968242,-2.466245),(-5.729943,-2.466245)
sen_44-sen_1|(-6.88, -0.58),(-6.82, .135),(-6.56, 0.28),(-6.4,0.3),(-6.285616,0.5338753),(-6.165747,0.7951708),(-6.226389,1.553998),(-6.002827,1.979764),(-5.520961,2.421435)
sen_44-sen_2|(-6.88, -0.58),(-6.475,-0.615),(-6.315,-0.6),(-5.952168,-0.5814378),(-5.505734,-0.4116008),(-4.890141,-0.3295171)
sen_44-sen_3|(-6.88, -0.58),(-7, -0.884),(-6.905,-1.305),(-6.66, -1.465),(-6.41,-1.59),(-6.166824,-1.822839),(-6.182711,-2.251776),(-5.968242,-2.466245),(-5.729943,-2.466245)
sen_3-sen_7|(-5.638507,-2.482633),(-4.953151,-2.554148),(-4.357188,-2.977281),(-3.993652,-3.048797)
sen_7-sen_10|(-3.835327,-3.046514),(-3.552742,-2.987903),(-3.142675,-2.686045),(-2.971229,-2.385772),(-2.636619,-2.125519),(-2.419741,-1.697961)
sen_7-sen_14|(-3.835327,-3.046514),(-3.552742,-2.987903),(-3.142675,-2.686045),(-2.518885,-2.707989),(-1.942611,-2.81333),(-1.459284,-2.788544)
sen_14-sen_18|(-1.360236,-2.759229),(-0.916188,-2.852052),(-0.2667753,-3.35448),(-0.1665041,-3.595131)
sen_14-sen_600|(-1.360236,-2.759229),(-0.945,-2.9175),(-0.4,-2.73),(-0.27,-2.28),(-0.02,-2.1),(0.5405,-1.969)
\\subterranean river
subterriver_0-subterriver_1|(-3.12,-1.2825),(-2.955,-0.5775),(-2.7825,-0.375),(-2.4,-0.2775)
subterriver_0-subterriver_2|(-3.12,-1.2825),(-2.7525,-1.5525),(-2.4825,-1.605),(-2.1525,-1.56),(-1.8675,-1.395),(-1.6725,-1.215),(-1.305,-0.885)
subterriver_1-subterriver_3|(-2.4,-0.2775),(-1.8825,-0.1125),(-1.83,0.135),(-1.47,0.2925)
subterriver_3-subterriver_4|(-1.47,0.2925),(-1.185,0.7725),(-0.4575,1.35),(0.0525,1.3575)
\\subterriver_2-subterriver_3|(-1.305,-0.885),(-1.47,0.2925)
subterriver_2-subterriver_5|(-1.305,-0.885),(-0.96,-0.5475),(-0.5475,-0.435),(-0.0075,-0.45),(0.5775,-0.33)
subterriver_3-subterriver_5|(-1.47,0.2925),(-0.6825,0.2025),(-0.1425,0.0075),(0.5775,-0.33)
\\subterriver_4-subterriver_5|(0.0525,1.3575),(0.5775,-0.33)
subterriver_5-subterriver_6|(0.5775,-0.33),(1.1925,-0.705),(1.74,-1.0875),(1.8975,-1.545),(1.755,-1.95),(1.575,-2.28),(1.26,-2.6175)
subterriver_5-subterriver_7|(0.5775,-0.33),(1.08,-0.045),(1.545,0.0225),(1.7325,0.3),(2.2725,0.3525)
subterriver_6-subterriver_8|(1.26,-2.6175),(1.7925,-2.4525),(1.9575,-2.1975),(2.3175,-1.9425),(2.82,-1.7775),(3.2325,-1.47)
subterriver_7-subterriver_9|(2.2725,0.3525),(2.94,0.36),(3.3975,0.3225),(4.14,0.6525),(4.8875,0.47)
subterriver_8-subterriver_9|(3.2325,-1.47),(3.66,-1.035),(3.9825,-0.8625),(4.3875,-0.7575),(4.83,-0.4575),(5.0175,-0.1575),(4.9875,0.2625),(4.8875,0.47)
\\subterriver_9-subterriver_10|(4.8875,0.47),(5.205,1.185)
subterriver_10-subterriver_11|(5.205,1.185),(4.5525,1.545),(4.2975,2.655)
